Category,ItemName,ItemHdr,XpressfeedMnemonic,CRSP Long Name,Description/Full Compustat Name,ItemNameType
BalanceSheetFinancialAnnual,NPARL_DC,NPARL_DC,NPARL_DC,Nonperforming Assets - Restructured Loans DC,NPARL_DC: Nonperforming Assets - Restructured Loans Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,NPAT,NPAT,NPAT,Nonperforming Assets - Total,NPAT: Nonperforming Assets - Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,PRODV,PRODV,PRODV,Proposed Dividends,PRODV: Proposed Dividends (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,PRODV_DC,PRODV_DC,PRODV_DC,Proposed Dividends DC,PRODV_DC: Proposed Dividends Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,PRVT,PRVT,PRVT,Policy Reserves - Total (Statutory),PRVT: Policy Reserves - Total (Statutory) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,PVCL,PVCL,PVCL,Provision - Credit Losses (Balance Sheet),PVCL: Provision - Credit Losses (Balance Sheet) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,PVCL_FN,PVCL_FN,PVCL_FN,Provision - Credit Losses (Balance Sheet) FN,PVCL_FN: Provision - Credit Losses (Balance Sheet) Footnote (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,PVO,PVO,PVO,Provision - Other,PVO: Provision - Other (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,PVT,PVT,PVT,Provisions - Total,PVT: Provisions - Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,PVT_DC,PVT_DC,PVT_DC,Provisions - Total DC,PVT_DC: Provisions - Total Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,RADP,RADP,RADP,Reinsurance Assets - Deposits & Other (Insurance),RADP: Reinsurance Assets - Deposits and Other (Insurance) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,RAGR,RAGR,RAGR,Resale Agreements,RAGR: Resale Agreements (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,RAGR_DC,RAGR_DC,RAGR_DC,Resale Agreements DC,RAGR_DC: Resale Agreements Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,RAGR_FN,RAGR_FN,RAGR_FN,Resale Agreements FN,RAGR_FN: Resale Agreements Footnote (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,RARI,RARI,RARI,Reinsurance Assets - Receivable/Debtors (Insurance),RARI: Reinsurance Assets - Receivable/Debtors (Insurance) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,RATI,RATI,RATI,Reinsurance Assets - Total (Insurance),RATI: Reinsurance Assets - Total (Insurance) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,RATI_DC,RATI_DC,RATI_DC,Reinsurance Assets - Total (Insurance) DC,RATI_DC: Reinsurance Assets - Total (Insurance) Data Code (Refer to your Compustat documentation for item definitions),AM
